    timestamp  event open_type  user_id
1752120589370 opened    manual       12
1752120595568 closed       NaN       12
1752136081434 opened    manual       12
1752136099423 closed       NaN       12
1752193073183 opened    manual       12
1752193073815 closed       NaN       12
1752193074879 opened    manual       12
1752193075625 closed       NaN       12
1752206781829 opened    manual       12
1752207290050 closed       NaN       12
1752211766814 opened      auto       12
1752211780763 closed       NaN       12
1752211781121 opened    manual       12
1752212471606 closed       NaN       12
1752212498355 opened    manual       12
1752212515578 closed       NaN       12
1752212516074 opened    manual       12
1752212517152 closed       NaN       12
1752212517918 opened    manual       12
1752212525133 closed       NaN       12
1752213325247 opened      auto       12
1752213331646 closed       NaN       12
1752213331966 opened    manual       12
1752213332335 closed       NaN       12
1752213449725 opened      auto       12
1752213471138 closed       NaN       12
1752213818903 opened      auto       12
1752215833732 closed       NaN       12
1752216284110 opened      auto       12
1752216611396 closed       NaN       12
1752216691929 opened      auto       12
1752329446210 closed       NaN       12
1752453253713 opened      auto       12
1752454936893 closed       NaN       12
1752454965716 opened      auto       12
1752460389550 closed       NaN       12
1752460484673 opened      auto       12
1752460496106 closed       NaN       12
1752460499198 opened    manual       12
1752460500223 closed       NaN       12
1752460542177 opened      auto       12
1752471374783 opened      auto       12
1752472859769 closed       NaN       12
1752473032101 opened      auto       12
1752473301366 closed       NaN       12
1752473610236 opened      auto       12
1752476080159 closed       NaN       12
1752476116235 opened      auto       12
1752476162785 closed       NaN       12
1752476313118 opened      auto       12
1752476683172 closed       NaN       12
1752476803630 opened      auto       12
1752476900388 closed       NaN       12
1752477088758 opened      auto       12
1752477414570 closed       NaN       12
1752477483636 opened      auto       12
1752477533521 closed       NaN       12
1752477847711 opened      auto       12
1752480965600 closed       NaN       12
1752541739958 opened      auto       12
1752543381770 closed       NaN       12
1752543382419 opened    manual       12
1752552879712 closed       NaN       12
1752552949804 opened      auto       12
1752552958517 closed       NaN       12
1752557047839 opened      auto       12
1752557059524 closed       NaN       12
1752557187805 opened      auto       12
1752557204326 closed       NaN       12
1752557263449 opened    manual       12
1752557296827 closed       NaN       12
1752557662142 opened      auto       12
1752557901559 closed       NaN       12
1752558578758 opened      auto       12
1752558655818 closed       NaN       12
1752558817047 opened      auto       12
1752560414994 closed       NaN       12
1752560495405 opened      auto       12
1752560582209 closed       NaN       12
1752560860470 opened      auto       12
1752561385670 closed       NaN       12
1752561476811 opened      auto       12
1752565036524 closed       NaN       12
1752565272202 opened      auto       12
1752565444943 closed       NaN       12
1752565445424 opened    manual       12
1752566966423 closed       NaN       12
1752625564059 opened      auto       12
1752644530134 closed       NaN       12
1752645238183 opened      auto       12
1752645450155 closed       NaN       12
1752646180373 opened      auto       12
1752647671476 closed       NaN       12
1752647863226 opened      auto       12
1752651348255 closed       NaN       12
1752651413307 opened    manual       12
1752651555345 closed       NaN       12
1752651770349 opened      auto       12
1752651896771 closed       NaN       12
1752652137469 opened    manual       12
1752652789707 closed       NaN       12
1752652953059 opened      auto       12
1752669290653 closed       NaN       12
1752669338235 opened      auto       12
1752669378069 closed       NaN       12
1752669397936 opened      auto       12
1752669401893 closed       NaN       12
1752669402810 opened    manual       12
1752669403406 closed       NaN       12
1752669461940 opened      auto       12
1752669513855 closed       NaN       12
1752669572249 opened      auto       12
1752669572403 closed       NaN       12
1752669573502 opened    manual       12
1752669658046 closed       NaN       12
1752669728378 opened      auto       12
1752669868632 closed       NaN       12
1752669914727 opened      auto       12
1752669957699 closed       NaN       12
1752670006346 opened      auto       12
1752671762433 closed       NaN       12
1752673519938 opened      auto       12
1752676957073 opened      auto       12
1752710740598 closed       NaN       12
1752710740941 opened    manual       12
1752712786985 closed       NaN       12
1752713003064 opened      auto       12
1752713884681 closed       NaN       12
1752714012043 opened      auto       12
1752715657245 closed       NaN       12
1752715666305 opened      auto       12
1752715671990 closed       NaN       12
1752715878946 opened      auto       12
1752741330624 closed       NaN       12
1752741568653 opened      auto       12
1752800011582 closed       NaN       12
1752800094941 opened      auto       12
1752804864771 opened      auto       12
1752812331159 closed       NaN       12
1752812973905 opened    manual       12
1752812974753 closed       NaN       12
1752813806865 opened      auto       12
1752814678548 opened      auto       12
1752814984038 closed       NaN       12
1752814990973 opened      auto       12
1752819029817 closed       NaN       12
1753148639008 opened      auto       12
1753148665962 closed       NaN       12
1753148674328 opened    manual       12
1753148689278 closed       NaN       12
1753148716373 opened    manual       12
1753148731817 closed       NaN       12
1753148747902 opened    manual       12
1753148777480 closed       NaN       12
1753148777900 opened    manual       12
1753149039722 closed       NaN       12
1753149040843 opened    manual       12
1753149041583 closed       NaN       12
1753149041854 opened    manual       12
1753162741932 closed       NaN       12
1753229324968 opened    manual       12
1753243425957 closed       NaN       12
